name,label,is_custom,sharing_model,description,field_count,record_type_count,validation_rule_count,workflow_rule_count
ChangeRequestRelatedItem,ChangeRequestRelatedItem,False,ControlledByParent,,4,0,0,0
DecisionTblFileImportData,DecisionTblFileImportData,False,Private,,0,0,0,0
ChangeRequestRelatedIssue,ChangeRequestRelatedIssue,False,ControlledByParent,,3,0,0,0
Contact,Contact,False,ControlledByParent,,7,0,0,0
DuplicateRecordItem,DuplicateRecordItem,False,ControlledByParent,,2,0,0,0
Incident,Incident,False,Private,,13,0,0,0
Quote,Quote,False,ControlledByParent,,30,0,0,0
Case,Case,False,Read,,15,0,0,0
StreamingChannel,StreamingChannel,False,ReadWrite,,0,0,0,0
Order,Order,False,ControlledByParent,,31,0,0,0
ExpressionSetVersion,ExpressionSetVersion,False,ControlledByParent,,1,0,0,0
PromptAction,PromptAction,False,Private,,0,0,0,0
RecordAction,RecordAction,False,ReadWrite,,2,0,0,0
AuditTrailFileExport,AuditTrailFileExport,False,Private,,0,0,0,0
CalculationMatrixVersion,CalculationMatrixVersion,False,ControlledByParent,,1,0,0,0
ForecastingTypeToCategory,ForecastingTypeToCategory,False,ReadWrite,,1,0,0,0
UserPrioritizedRecord,UserPrioritizedRecord,False,Private,,0,0,0,0
CaseContactRole,CaseContactRole,False,,,1,0,0,0
Pricebook2,Pricebook2,False,ReadSelect,,0,0,0,0
Recommendation,Recommendation,False,ReadWrite,,1,0,0,0
ForecastingQuota,ForecastingQuota,False,,,1,0,0,0
Solution,Solution,False,,,1,0,0,0
LocationTrustMeasure,LocationTrustMeasure,False,ReadWrite,,2,0,0,0
IntegrationProviderAttr,IntegrationProviderAttr,False,ReadWrite,,1,0,0,0
OrderItem,OrderItem,False,,,15,0,0,0
ForecastingCategoryMapping,ForecastingCategoryMapping,False,ReadWrite,,1,0,0,0
MLModelFactor,MLModelFactor,False,ControlledByParent,,0,0,0,0
AssistantProgress,AssistantProgress,False,Private,,0,0,0,0
SetupDataSynchronization,SetupDataSynchronization,False,Private,,0,0,0,0
CalcMatrixColumnRange,CalcMatrixColumnRange,False,ControlledByParent,,2,0,0,0
ChangeRequest,ChangeRequest,False,Private,,8,0,0,0
MacroAction,MacroAction,False,ControlledByParent,,0,0,0,0
BatchJobPartFailedRecord,BatchJobPartFailedRecord,False,ControlledByParent,,3,0,0,0
ApprovalSubmissionDetail,ApprovalSubmissionDetail,False,ControlledByParent,,3,0,0,0
ActionPlanItemDependency,ActionPlanItemDependency,False,ControlledByParent,,0,0,0,0
Product2,Product2,False,ReadWrite,,36,0,0,0
OpportunityRelatedDeleteLog,OpportunityRelatedDeleteLog,False,ControlledByParent,,0,0,0,0
CollaborationGroupMember,CollaborationGroupMember,False,,,0,0,0,0
CalculationMatrix,CalculationMatrix,False,Private,,1,0,0,0
ScorecardMetric,ScorecardMetric,False,ControlledByParent,,3,0,0,0
ExpressionFilter,ExpressionFilter,False,ControlledByParent,,0,0,0,0
EngagementInteraction,EngagementInteraction,False,ReadWrite,,6,0,0,0
Lead,Lead,False,ReadWriteTransfer,,46,0,0,0
EntityMilestone,EntityMilestone,False,ReadWrite,,4,0,0,0
WorkBadgeDefinition,WorkBadgeDefinition,False,Read,,1,0,0,0
