type,name,label,status,flow_type,element_count,variable_count
Flow,Lead_Accepted_Create_Research_Task,Lead Accepted - Create Research Task,Active,AutoLaunchedFlow,2,0
Flow,Universal_Lead_Assignment_and_Processing,Universal Lead Assignment and Processing,Active,AutoLaunchedFlow,2,0
